-- Start ../../PicrossHD/Puzzles/Puzzles Puzzle Pack/Puzzles.xml --
unique logical  	 AnimalsD05Hamster
unique logical  	 AnimalsD06Puppy
unique logical  	 AnimalsD07Bird
unique logical  	 AnimalsD08Kitty Face
unique logical  	 AnimalsD_Griddlers_20028
unique logical  	 AnimalsD_Griddlers_20101
unique logical  	 AnimalsE01Elephant
unique logical  	 AnimalsE02Puppy
-- end ../../PicrossHD/Puzzles/Animals Puzzle Pack/Animals.xml --
-- Start ../../PicrossHD/Puzzles/Army Puzzle Pack/Army.xml --
trivial unique logical  	 ArmyA01First Aid
unique logical  	 ArmyA02Arrow
trivial unique logical  	 ArmyA03Tire
unique  	 ArmyA04Private
unique logical  	 ArmyA05Boot
trivial unique logical  	 ArmyA06Road
unique logical  	 ArmyB01Tent
unique logical  	 ArmyB02Axe
unique logical  	 ArmyB03Mortor
unique logical  	 ArmyB04Sargent
unique logical  	 ArmyC01Ammo Box
unique logical  	 ArmyC02Hummer
multiple  	 ArmyC03Saber
unique logical  	 ArmyC04Hovercraft
unique logical  	 ArmyC05Hole
unique logical  	 ArmyC_Griddlers_40401
unique logical  	 ArmyC_Griddlers_40410
unique logical  	 ArmyD01Jeep
multiple  	 ArmyD02ATV
unique logical  	 ArmyD03Grenade
multiple  	 ArmyD04Choppa
unique logical  	 ArmyD05Shoot
unique logical  	 ArmyD06Boom
unique logical  	 ArmyE01Tank
-- end ../../PicrossHD/Puzzles/Army Puzzle Pack/Army.xml --
-- Start ../../PicrossHD/Puzzles/Christmas Puzzle Pack/Christmas.xml --
unique logical  	 ChristmasA01Ornament
unique logical  	 ChristmasA02Tree Topper
unique  	 ChristmasA03Reindeer
trivial unique logical  	 ChristmasA04Chimney
unique logical  	 ChristmasA05Mailbox
trivial unique logical  	 ChristmasA06Present
unique logical  	 ChristmasB_Griddlers1_40323
unique logical  	 ChristmasB_Griddlers_40386
unique logical  	 ChristmasD01Wreath
multiple  	 ChristmasD02Bell
unique logical  	 ChristmasD03Santa
unique logical  	 ChristmasD04Candy
unique logical  	 ChristmasD05Present
unique logical  	 ChristmasD06Stocking
multiple  	 ChristmasD07Drum
unique logical  	 ChristmasD08Candy cane
multiple  	 ChristmasD09Angel
multiple  	 ChristmasD10Star
multiple  	 ChristmasD11Stocking
unique logical  	 ChristmasD12Tree
multiple  	 ChristmasD13Bulb
unique logical  	 ChristmasD14Present
unique logical  	 ChristmasD15Ginerbread
multiple  	 ChristmasD16Deer
unique logical  	 ChristmasD17Angel
multiple  	 ChristmasE01Bow1
multiple  	 ChristmasE02Elf
multiple  	 ChristmasE03Santa1
multiple  	 ChristmasE04Bow
multiple  	 ChristmasE05Rudolph
unique logical  	 ChristmasE06Christmas Tree
unique logical  	 ChristmasE07Sleigh
-- end ../../PicrossHD/Puzzles/Christmas Puzzle Pack/Christmas.xml --
-- Start ../../PicrossHD/Puzzles/Thanksgiving Puzzle Pack/Thanksgiving.xml --
unique logical  	 ThanksgivingA01Turkey
unique logical  	 ThanksgivingB01Acorn
unique logical  	 ThanksgivingB02Goal
unique logical  	 ThanksgivingB03Corn
unique logical  	 ThanksgivingB04Apple
unique logical  	 ThanksgivingB05Helmet
unique logical  	 ThanksgivingB06Leaf
unique logical  	 ThanksgivingD01Cornucopia
unique logical  	 ThanksgivingD02Pilgrim Boy
multiple  	 ThanksgivingD03Pilgrim Girl
multiple  	 ThanksgivingD04Indian
unique logical  	 ThanksgivingE01Turkey
unique logical  	 ThanksgivingE02Pie slice
unique logical  	 ThanksgivingE03Pumpkin
unique  	 ThanksgivingE04Pie
unique logical  	 ThanksgivingE05Pilgrim hat
unique logical  	 ThanksgivingE06Apple tree
-- end ../../PicrossHD/Puzzles/Thanksgiving Puzzle Pack/Thanksgiving.xml --
-- Start ../../PicrossHD/Puzzles/Winter Puzzle Pack/Winter.xml --
unique  	 WinterA01Frosty
unique logical  	 WinterA02Evergreen
unique logical  	 WinterB01Snowman
unique logical  	 WinterB02Mountains
unique logical  	 WinterD01Snowflake
unique logical  	 WinterD02Mitten
unique logical  	 WinterD03Forest
multiple  	 WinterD04Frosty
unique logical  	 WinterD05Snowman
unique logical  	 WinterD06Gingerbread
unique logical  	 WinterD07Dreidel
multiple  	 WinterE01Sleigh
unique logical  	 WinterE01Snowflake
unique logical  	 WinterE02Reindeer
unique logical  	 WinterE03Menorah
unique logical  	 WinterE04Skier
multiple  	 WinterE05Tree
unique logical  	 WinterE06Leaf
unique logical  	 WinterE07Ski Lift
unique logical  	 WinterE08Snowman
unique logical  	 WinterE09Hockey Skate
unique logical  	 WinterE10Mitten
unique logical  	 WinterE11Figure Skate
-- end ../../PicrossHD/Puzzles/Winter Puzzle Pack/Winter.xml --
-- Start ../../PicrossHD/Puzzles/Food Puzzle Pack/Food.xml --
unique logical  	 FoodA01Cherry
unique logical  	 FoodA02Cocktail
multiple  	 FoodA03Peanut
unique logical  	 FoodB01Hamburger
unique logical  	 FoodB02Wine glass
unique logical  	 FoodB03Drink
unique logical  	 FoodB04Soup bowl
unique logical  	 FoodC01Pizza slice
unique logical  	 FoodC02Salt Pepper
unique logical  	 FoodC03Fried egg
unique logical  	 FoodC04Dinner plate
unique logical  	 FoodC05Dinner
unique logical  	 FoodC_Griddlers_40411
unique logical  	 FoodD01Pizza
unique logical  	 FoodD02Popcorn
unique logical  	 FoodD03Fries
unique logical  	 FoodD04Fish
unique logical  	 FoodD05Martini
unique logical  	 FoodD06Cupcake
unique logical  	 FoodD07Noodles
multiple  	 FoodE01Lobster
unique logical  	 FoodE02Crab
unique logical  	 FoodE03Hot dog
unique logical  	 FoodE04Soup's on
unique logical  	 FoodE05Steak
-- end ../../PicrossHD/Puzzles/Food Puzzle Pack/Food.xml --
-- Start ../../PicrossHD/Puzzles/Machines Puzzle Pack/Machines.xml --
trivial unique logical  	 MachinesA01Hex nut
trivial unique logical  	 MachinesA02Bolt
unique logical  	 MachinesA03Hammer
unique logical  	 MachinesB_Griddlers1_40304
unique logical  	 MachinesB_Griddlers1_40313
unique logical  	 MachinesC_Griddlers1_30009
unique logical  	 MachinesC_Griddlers1_30026
unique logical  	 MachinesC_Griddlers1_40341
unique logical  	 MachinesC_Griddlers1_40342
unique logical  	 MachinesC_Griddlers1_40351
unique logical  	 MachinesC_Griddlers1_40352
unique logical  	 MachinesC_Griddlers1_40354
unique logical  	 MachinesC_Griddlers1_40360
unique logical  	 MachinesD01Blowdryer
unique logical  	 MachinesD02Mixer
unique logical  	 MachinesD03Vacuum
trivial unique logical  	 MachinesD04Washer
unique logical  	 MachinesD05Blender
unique logical  	 MachinesD_Griddlers1_20027
unique logical  	 MachinesD_Griddlers1_20616
unique logical  	 MachinesD_Griddlers_20165
unique logical  	 MachinesD_Griddlers_20175
unique logical  	 MachinesE01Tractor
unique logical  	 MachinesE02Bike
unique logical  	 MachinesE03Truck
unique logical  	 MachinesE04Slug bug
unique logical  	 MachinesE05Cement truck
unique logical  	 MachinesE06Motorcycle
unique logical  	 MachinesE07Lawnmower
-- end ../../PicrossHD/Puzzles/Machines Puzzle Pack/Machines.xml --
-- Start ../../PicrossHD/Puzzles/Medieval Puzzle Pack/Medieval.xml --
trivial unique logical  	 MedievalA01Shield
unique logical  	 MedievalA02Princess
unique logical  	 MedievalA03Sword
unique logical  	 MedievalB01Horn
unique logical  	 MedievalB02Goblet
unique logical  	 MedievalB_Griddlers1_40316
unique logical  	 MedievalB_Griddlers1_40317
